processflag	insert_platform	insert_user	insert_date	update_platform	update_user	update_date	delete_platform	delete_user	delete_date	cru_csvnote	is_erpsent	is_enabled	i	id	code_erp	description	company	first_name	last_name_1	last_name_2	taxid_nr	address	email	phone_1	phone_2	contact	contact_phone	is_robinson_email	id_country	id_seller	id_type	last_sale	is_validated	id_userext	id_type_gender	birthdate	bonus_points
\N	1	1	20130827212306	\N	1	20130827212306	\N	\N	\N	\N	0	1	\N	1	400001008454	Desc. CUSTOMER DEMO (1)	Comp. Desc. CUSTOMER DEMO (1)	Fn. 400001008454	Ln1. 400001008454	Ln2. DEMO 1	\N	Addr. DEMMO OF 1	email1@somedomain.loc	ph1-583-2969	ph2-5624646	Cont. DEMO CONTACT 1	Cont ph. 400001	Yes	1	4	0	40631.000	1	\N	\N	\N	0
\N	1	1	20130827212306	\N	1	20130827212306	\N	\N	\N	\N	0	1	\N	2	400001008461	Desc. CUSTOMER DEMO (2)	Comp. Desc. CUSTOMER DEMO (2)	Fn. 400001008461	Ln1. 400001008461	Ln2. DEMO 2	\N	Addr. DEMMO OF 2	email2@somedomain.loc	ph1-585-5303	ph2-	Cont. DEMO CONTACT 2	Cont ph. 400001	Yes	1	4	0	40473.000	1	\N	\N	\N	0
\N	1	1	20130827212306	\N	1	20130827212306	\N	\N	\N	\N	0	1	\N	3	400001008485	Desc. CUSTOMER DEMO (3)	Comp. Desc. CUSTOMER DEMO (3)	Fn. 400001008485	Ln1. 400001008485	Ln2. DEMO 3	\N	Addr. DEMMO OF 3	email3@somedomain.loc	ph1-	ph2-	Cont. DEMO CONTACT 3	Cont ph. 400001	No	1	4	0	40688.000	1	\N	\N	\N	0
\N	1	1	20130827212306	\N	1	20130827212306	\N	\N	\N	\N	0	1	\N	4	400001008539	Desc. CUSTOMER DEMO (4)	Comp. Desc. CUSTOMER DEMO (4)	Fn. 400001008539	Ln1. 400001008539	Ln2. DEMO 4	\N	Addr. DEMMO OF 4	email4@somedomain.loc	ph1-563-5150	ph2-	Cont. DEMO CONTACT 4	Cont ph. 400001	Yes	1	4	0	40592.000	1	\N	\N	\N	0
\N	1	1	20130827212306	\N	1	20130827212306	\N	\N	\N	\N	0	1	\N	5	400001008669	Desc. CUSTOMER DEMO (5)	Comp. Desc. CUSTOMER DEMO (5)	Fn. 400001008669	Ln1. 400001008669	Ln2. DEMO 5	\N	Addr. DEMMO OF 5	email5@somedomain.loc	ph1-5942957	ph2-5830535	Cont. DEMO CONTACT 5	Cont ph. 400001	Yes	1	4	0	40504.000	1	\N	\N	\N	0
\N	1	1	20130827212306	\N	1	20130827212306	\N	\N	\N	\N	0	1	\N	6	400001008676	Desc. CUSTOMER DEMO (6)	Comp. Desc. CUSTOMER DEMO (6)	Fn. 400001008676	Ln1. 400001008676	Ln2. DEMO 6	\N	Addr. DEMMO OF 6	email6@somedomain.loc	ph1-5653194	ph2-	Cont. DEMO CONTACT 6	Cont ph. 400001	Yes	1	4	0	40505.000	1	\N	\N	\N	0
\N	1	1	20130827212306	\N	1	20130827212306	\N	\N	\N	\N	0	1	\N	7	400001008690	Desc. CUSTOMER DEMO (7)	Comp. Desc. CUSTOMER DEMO (7)	Fn. 400001008690	Ln1. 400001008690	Ln2. DEMO 7	\N	Addr. DEMMO OF 7	email7@somedomain.loc	ph1-743-6794	ph2-	Cont. DEMO CONTACT 7	Cont ph. 400001	Yes	1	4	0	40415.000	1	\N	\N	\N	0
\N	1	1	20130827212306	\N	1	20130827212306	\N	\N	\N	\N	0	1	\N	8	400001008751	Desc. CUSTOMER DEMO (8)	Comp. Desc. CUSTOMER DEMO (8)	Fn. 400001008751	Ln1. 400001008751	Ln2. DEMO 8	\N	Addr. DEMMO OF 8	email8@somedomain.loc	ph1-5680636	ph2-	Cont. DEMO CONTACT 8	Cont ph. 400001	Yes	1	4	0	40660.000	1	\N	\N	\N	0
\N	1	1	20130827212306	\N	1	20130827212306	\N	\N	\N	\N	0	1	\N	9	400001008492	Desc. CUSTOMER DEMO (9)	Comp. Desc. CUSTOMER DEMO (9)	Fn. 400001008492	Ln1. 400001008492	Ln2. DEMO 9	\N	Addr. DEMMO OF 9	email9@somedomain.loc	ph1-588-7620	ph2-564-5245	Cont. DEMO CONTACT 9	Cont ph. 400001	No	1	4	0	41026.000	1	\N	\N	\N	0
\N	1	1	20130827212306	\N	1	20130827212306	\N	\N	\N	\N	0	1	\N	10	400001008546	Desc. CUSTOMER DEMO (10)	Comp. Desc. CUSTOMER DEMO (10)	Fn. 400001008546	Ln1. 400001008546	Ln2. DEMO 10	\N	Addr. DEMMO OF 10	email10@somedomain.loc	ph1-584-5833	ph2-584-7966 FA	Cont. DEMO CONTACT 10	Cont ph. 400001	Yes	1	4	0	41325.000	1	\N	\N	\N	0
\N	1	1	20130827212306	\N	1	20130827212306	\N	\N	\N	\N	0	1	\N	11	400001008652	Desc. CUSTOMER DEMO (11)	Comp. Desc. CUSTOMER DEMO (11)	Fn. 400001008652	Ln1. 400001008652	Ln2. DEMO 11	\N	Addr. DEMMO OF 11	email11@somedomain.loc	ph1-5605950	ph2-	Cont. DEMO CONTACT 11	Cont ph. 400001	No	1	4	0	40862.000	1	\N	\N	\N	0
\N	1	1	20130827212306	\N	1	20130827212306	\N	\N	\N	\N	0	1	\N	12	400001008683	Desc. CUSTOMER DEMO (12)	Comp. Desc. CUSTOMER DEMO (12)	Fn. 400001008683	Ln1. 400001008683	Ln2. DEMO 12	\N	Addr. DEMMO OF 12	email12@somedomain.loc	ph1-	ph2-	Cont. DEMO CONTACT 12	Cont ph. 400001	No	1	4	0	40505.000	1	\N	\N	\N	0
\N	1	1	20130827212306	\N	1	20130827212306	\N	\N	\N	\N	0	1	\N	13	400001008744	Desc. CUSTOMER DEMO (13)	Comp. Desc. CUSTOMER DEMO (13)	Fn. 400001008744	Ln1. 400001008744	Ln2. DEMO 13	\N	Addr. DEMMO OF 13	email13@somedomain.loc	ph1-5939993	ph2-5859721 (fa	Cont. DEMO CONTACT 13	Cont ph. 400001	Yes	1	4	0	40417.000	1	\N	\N	\N	0
\N	1	1	20130827212306	\N	1	20130827212306	\N	\N	\N	\N	0	1	\N	14	400001008805	Desc. CUSTOMER DEMO (14)	Comp. Desc. CUSTOMER DEMO (14)	Fn. 400001008805	Ln1. 400001008805	Ln2. DEMO 14	\N	Addr. DEMMO OF 14	email14@somedomain.loc	ph1-	ph2-6603745	Cont. DEMO CONTACT 14	Cont ph. 400001	Yes	1	4	0	40429.000	1	\N	\N	\N	0
\N	1	1	20130827212306	\N	1	20130827212306	\N	\N	\N	\N	0	1	\N	15	400001008782	Desc. CUSTOMER DEMO (15)	Comp. Desc. CUSTOMER DEMO (15)	Fn. 400001008782	Ln1. 400001008782	Ln2. DEMO 15	\N	Addr. DEMMO OF 15	email15@somedomain.loc	ph1-744-5876	ph2-	Cont. DEMO CONTACT 15	Cont ph. 400001	Yes	1	4	0	40471.000	1	\N	\N	\N	0
\N	1	1	20130827212306	\N	1	20130827212306	\N	\N	\N	\N	0	1	\N	16	400001008935	Desc. CUSTOMER DEMO (16)	Comp. Desc. CUSTOMER DEMO (16)	Fn. 400001008935	Ln1. 400001008935	Ln2. DEMO 16	\N	Addr. DEMMO OF 16	email16@somedomain.loc	ph1-7312843	ph2-	Cont. DEMO CONTACT 16	Cont ph. 400001	Yes	1	4	0	40455.000	1	\N	\N	\N	0
\N	1	1	20130827212306	\N	1	20130827212306	\N	\N	\N	\N	0	1	\N	17	400001008959	Desc. CUSTOMER DEMO (17)	Comp. Desc. CUSTOMER DEMO (17)	Fn. 400001008959	Ln1. 400001008959	Ln2. DEMO 17	\N	Addr. DEMMO OF 17	email17@somedomain.loc	ph1-	ph2-	Cont. DEMO CONTACT 17	Cont ph. 400001	Yes	1	4	0	40556.000	1	\N	\N	\N	0
\N	1	1	20130827212306	\N	1	20130827212306	\N	\N	\N	\N	0	1	\N	18	400001008591	Desc. CUSTOMER DEMO (18)	Comp. Desc. CUSTOMER DEMO (18)	Fn. 400001008591	Ln1. 400001008591	Ln2. DEMO 18	\N	Addr. DEMMO OF 18	email18@somedomain.loc	ph1-	ph2-	Cont. DEMO CONTACT 18	Cont ph. 400001	Yes	1	4	0	40445.000	1	\N	\N	\N	0
\N	1	1	20130827212306	\N	1	20130827212306	\N	\N	\N	\N	0	1	\N	19	400001008911	Desc. CUSTOMER DEMO (19)	Comp. Desc. CUSTOMER DEMO (19)	Fn. 400001008911	Ln1. 400001008911	Ln2. DEMO 19	\N	Addr. DEMMO OF 19	email19@somedomain.loc	ph1-583-0325	ph2-583-0292 (F	Cont. DEMO CONTACT 19	Cont ph. 400001	No	1	4	0	40452.000	1	\N	\N	\N	0
\N	1	1	20130827212306	\N	1	20130827212306	\N	\N	\N	\N	0	1	\N	20	400001009000	Desc. CUSTOMER DEMO (20)	Comp. Desc. CUSTOMER DEMO (20)	Fn. 400001009000	Ln1. 400001009000	Ln2. DEMO 20	\N	Addr. DEMMO OF 20	email20@somedomain.loc	ph1-	ph2-5940661	Cont. DEMO CONTACT 20	Cont ph. 400001	Yes	1	4	0	40480.000	1	\N	\N	\N	0
